run,strategy,t,ndcg,rd,lss,ptkr,conv,sigma
18,Naive,35,0.999857427202407,0.14,1.0,0.0,0.75,0.016876318513890362
18,Naive,36,0.9999391270347088,0.12000000000000002,1.0,0.0,0.8,0.016641005886756877
18,Naive,37,0.9999626481863919,0.13999999999999999,1.0,0.0,0.95,0.01641526965493749
18,Naive,38,0.9999836170819648,0.11500000000000002,1.0,0.0,0.8,0.01619847741468117
18,Naive,39,0.9999397344383579,0.11500000000000002,1.0,0.0,0.85,0.015990053726670783
18,Naive,40,0.9999308853116256,0.10500000000000001,1.0,0.0,0.95,0.015789473684210527
18,Naive,41,0.9999955086350594,0.125,1.0,0.0,0.85,0.01559625734730109
18,Naive,42,0.9997242242441091,0.155,1.0,0.0,0.65,0.015409964908125424
18,Naive,43,0.9998834364670097,0.12,1.0,0.0,0.95,0.01523019247700429
18,Naive,44,0.9999091841678082,0.14,1.0,0.0,0.9,0.01505656839685487
18,Naive,45,0.9998490157012709,0.135,1.0,0.0,0.9,0.014888750009563956
18,Naive,46,0.9999780899981033,0.13499999999999998,1.0,0.0,0.85,0.01472642081021448
18,Naive,47,0.9999164722920657,0.125,1.0,0.0,0.85,0.014569287935358962
18,Naive,48,0.9998938710467502,0.11499999999999999,1.0,0.0,0.85,0.014417079939966385
18,Naive,49,0.9998954297720596,0.135,1.0,0.0,0.9,0.014269544824634823
18,Naive,50,0.9998124017550092,0.1,1.0,0.0,0.8,0.014126448280440334
18,Naive,51,0.9999027850071501,0.12,1.0,0.0,0.85,0.013987572123604705
18,Naive,52,0.9999928336536106,0.16499999999999998,1.0,0.0,0.85,0.013852712896188304
18,Naive,53,0.9999666677414275,0.12000000000000002,1.0,0.0,0.9,0.013721680612390447
18,Naive,54,0.9999614243849342,0.12999999999999998,1.0,0.0,0.95,0.013594297632883315
18,Naive,55,0.9999497323332592,0.12000000000000002,1.0,0.0,0.85,0.013470397652008118
18,Naive,56,0.9998967927403996,0.135,1.0,0.0,0.75,0.013349824784699543
18,Naive,57,0.9999089610093466,0.11499999999999999,1.0,0.0,0.9,0.013232432741736928
18,Naive,58,0.9999436385882878,0.16,1.0,0.0,0.8,0.013118084083398785
18,Naive,59,0.9999378296250809,0.135,1.0,0.0,0.9,0.013006649542861801
18,Naive,60,0.9999769866885998,0.14,1.0,0.0,0.95,0.012898007411770435
18,LCB,0,0.9990099717713381,0.0,1.0,0.0,0.0,0.29999999999999993
18,LCB,1,0.9990099717713381,0.0,1.0,0.0,0.0,0.0948683298050514
18,LCB,2,0.9990099717713381,0.0,1.0,0.0,0.0,0.06882472016116851
18,LCB,3,0.9990099717713381,0.0,1.0,0.0,0.1,0.056694670951384085
18,LCB,4,0.9992352755462036,0.04,1.0,0.0,0.15,0.049319696191607185
18,LCB,5,0.9991781162558206,0.005,1.0,0.0,0.05,0.04423258684646915
18,LCB,6,0.999407623328921,0.075,1.0,0.0,0.2,0.040451991747794534
18,LCB,7,0.9996133935799978,0.08499999999999999,1.0,0.0,0.3,0.0375
18,LCB,8,0.9993630668568269,0.05500000000000001,1.0,0.0,0.15,0.03511234415883917
18,LCB,9,0.999379764546444,0.034999999999999996,1.0,0.0,0.15,0.03312945782245395
18,LCB,10,0.9992383712785253,0.05500000000000001,1.0,0.0,0.2,0.031448545101657545
18,LCB,11,0.9993977322958234,0.08499999999999999,1.0,0.0,0.15,0.030000000000000006
18,LCB,12,0.9990618089083927,0.005,1.0,0.0,0.2,0.028734788556634548
18,LCB,13,0.9998074669670217,0.14500000000000002,1.0,0.0,0.25,0.027617238536949706
18,LCB,14,0.9996426875360305,0.125,1.0,0.0,0.25,0.026620695282483415
18,LCB,15,0.9993773766686898,0.03,1.0,0.0,0.5,0.02572478777137633
18,LCB,16,0.9994869601569791,0.045,1.0,0.0,0.25,0.024913643956121993
18,LCB,17,0.9994982055866156,0.05500000000000001,1.0,0.0,0.35,0.02417468892076141
18,LCB,18,0.999256248669778,0.034999999999999996,1.0,0.0,0.4,0.023497813499638733
18,LCB,19,0.9994194222687272,0.06999999999999999,1.0,0.0,0.2,0.022874785549890704
18,LCB,20,0.9996090507320947,0.11000000000000001,1.0,0.0,0.3,0.02229882438741499
18,LCB,21,0.9995794567870409,0.085,1.0,0.0,0.3,0.021764287503300346
18,LCB,22,0.9997128394092618,0.09,1.0,0.0,0.2,0.021266436150250083
18,LCB,23,0.9997734412621098,0.1,1.0,0.0,0.4,0.02080125735844609
18,LCB,24,0.9996618392097012,0.11000000000000001,1.0,0.0,0.4,0.020365326999063918
18,LCB,25,0.9996359267807924,0.095,1.0,0.0,0.3,0.01995570315713218
18,LCB,26,0.9996450075436506,0.06999999999999999,1.0,0.0,0.45,0.019569842191603272
18,LCB,27,0.9997134486328711,0.06500000000000002,1.0,0.0,0.3,0.0192055319899344
18,LCB,28,0.9995067705645819,0.06000000000000001,1.0,0.0,0.3,0.018860838403857945
18,LCB,29,0.9996912883397101,0.11500000000000002,1.0,0.0,0.3,0.018534061896456462
18,LCB,30,0.9992881125482924,0.01,1.0,0.0,0.15,0.01822370217692361
18,LCB,31,0.9992247992789981,0.039999999999999994,1.0,0.0,0.3,0.017928429140015904
18,LCB,32,0.9995436198057579,0.07999999999999999,1.0,0.0,0.3,0.01764705882352941
18,LCB,33,0.9994197198822968,0.075,1.0,0.0,0.35,0.017378533390904772
18,LCB,34,0.9997832324924113,0.095,1.0,0.0,0.5,0.017121904366060488
18,LCB,35,0.9995501707894465,0.06999999999999999,1.0,0.0,0.4,0.016876318513890362
18,LCB,36,0.9996691885015364,0.11000000000000001,1.0,0.0,0.45,0.016641005886756877
18,LCB,37,0.9998348563403647,0.16,1.0,0.0,0.55,0.01641526965493749
18,LCB,38,0.9997475455329138,0.12000000000000002,1.0,0.0,0.5,0.01619847741468117
18,LCB,39,0.9996545641716038,0.12,1.0,0.0,0.35,0.015990053726670783
18,LCB,40,0.9996422815811407,0.08499999999999999,1.0,0.0,0.4,0.015789473684210527
18,LCB,41,0.9996601881578908,0.11499999999999999,1.0,0.0,0.55,0.01559625734730109
18,LCB,42,0.9998199587427414,0.125,1.0,0.0,0.65,0.015409964908125424
18,LCB,43,0.9997279059036022,0.08,1.0,0.0,0.4,0.01523019247700429
18,LCB,44,0.9997999911773041,0.10999999999999999,1.0,0.0,0.7,0.01505656839685487
18,LCB,45,0.9997071942324363,0.1,1.0,0.0,0.4,0.014888750009563956
18,LCB,46,0.9998291881287166,0.125,1.0,0.0,0.4,0.01472642081021448
18,LCB,47,0.9998017725421207,0.14499999999999996,1.0,0.0,0.6,0.014569287935358962
