strategy,t,ndcg_m,ndcg_s,rd_m,rd_s,lss_m,lss_s,ptkr_m,conv_m,sigma_m
Random,16,0.9899204065142604,0.006142414406333014,0.0765,0.03319554856369216,1.0,0.0,0.0008333333333333333,0.059166666666666666,0.02558454912498275
Random,17,0.9894817664907901,0.00630968590987936,0.06954166666666667,0.03336782754697522,1.0,0.0,0.0008333333333333333,0.06666666666666667,0.02482540351158087
Random,18,0.9907629812404343,0.00607107941750823,0.06329166666666666,0.024205919422482573,1.0,0.0,0.0008333333333333333,0.07833333333333334,0.0241573919405469
Random,19,0.9895018409492906,0.006706648794885252,0.06358333333333334,0.02346469913003697,1.0,0.0,0.0,0.07333333333333333,0.02349207971505399
Random,20,0.9895793138257598,0.0065943953735385285,0.075625,0.027503156384515417,1.0,0.0,0.0008333333333333333,0.06916666666666667,0.022900202827907286
Tiered,0,0.9921095371132239,0.00497177731513946,0.0,0.0,1.0,0.0,0.0,0.0,0.0479157423749955
Tiered,1,0.9921095371132239,0.00497177731513946,0.0,0.0,1.0,0.0,0.0,0.0,0.04575497916883125
Tiered,2,0.9921095371132239,0.00497177731513946,0.0,0.0,1.0,0.0,0.0,0.0,0.04379716833939142
Tiered,3,0.9921095371132239,0.00497177731513946,0.0,0.0,1.0,0.0,0.0,0.0,0.04177770033965202
Tiered,4,0.9921095371132239,0.00497177731513946,0.0,0.0,1.0,0.0,0.0,0.0,0.03995931474628746
Tiered,5,0.9921095371132239,0.00497177731513946,0.0,0.0,1.0,0.0,0.0,0.0,0.03815216178492459
Tiered,6,0.9921095371132239,0.00497177731513946,0.0,0.0,1.0,0.0,0.0,0.0,0.03669662354550872
Tiered,7,0.9921095371132239,0.00497177731513946,0.0,0.0,1.0,0.0,0.0,0.0,0.03536295814298102
Tiered,8,0.9959617904117906,0.0028434393273932355,0.020041666666666666,0.01296778227735886,1.0,0.0,0.0,0.9633333333333333,0.034001752195240716
Tiered,9,0.996330688170031,0.002849288406066045,0.023166666666666665,0.013433287623447544,1.0,0.0,0.0,0.9625,0.032726788577796435
Tiered,10,0.9966538672652254,0.0025302241861894963,0.024791666666666667,0.014203705450973408,1.0,0.0,0.0,0.9633333333333333,0.03154490955194726
Tiered,11,0.9969966889113495,0.002230661154628285,0.02783333333333333,0.015008282313832451,1.0,0.0,0.0,0.9691666666666666,0.030497046377260993
Tiered,12,0.9971660956264744,0.0020252209795311176,0.027250000000000003,0.014134638718266075,1.0,0.0,0.0,0.9666666666666666,0.0294214348543325
Tiered,13,0.9975457795472333,0.0017516751072749136,0.0305,0.016848568752444466,1.0,0.0,0.0,0.9716666666666667,0.02856337905933698
Tiered,14,0.9974994130193716,0.0017959707680023627,0.030583333333333334,0.018029986393692177,1.0,0.0,0.0,0.9716666666666667,0.027630158838000518
Tiered,15,0.9976532149460675,0.0016519912487713419,0.030666666666666665,0.017709894152060677,1.0,0.0,0.0,0.9724999999999999,0.026798694666869342
Tiered,16,0.9975788212311116,0.001716622047110375,0.030833333333333334,0.017490598978639322,1.0,0.0,0.0,0.9733333333333333,0.025987693656850486
Tiered,17,0.9976980485514805,0.0017455600588739283,0.03283333333333333,0.01989078366615557,1.0,0.0,0.0,0.9741666666666667,0.025275168336350528
Tiered,18,0.9978858902287634,0.0016197033175029388,0.03354166666666667,0.0184086868478441,1.0,0.0,0.0,0.9758333333333333,0.02455356214427542
Tiered,19,0.9982236324411465,0.0014832797213240217,0.037125,0.020523975068967,1.0,0.0,0.0,0.9808333333333333,0.0240187248423141
Tiered,20,0.9981667004292841,0.0016162874370727449,0.034833333333333334,0.02053131967797731,1.0,0.0,0.0,0.9775,0.023312833723247443
