t,strategy,ndcg,rd,lss,ptkr,conv,sigma,run
7,Naive,0.9970867976035452,0.035,0.9999999999999999,0.0,0.03333333333333333,0.03543436309374515,4
8,Naive,0.9976615207995461,0.03666666666666667,0.9999999999999999,0.0,0.03333333333333333,0.03400892259776689,4
9,Naive,0.9976615207995461,0.03666666666666667,0.9999999999999999,0.0,0.03333333333333333,0.032688296534443724,4
10,Naive,0.9986746241122311,0.03833333333333333,0.9999999999999999,0.0,0.03333333333333333,0.03146241070282203,4
11,Naive,0.9986864652647133,0.045000000000000005,0.9999999999999999,0.016666666666666666,0.05,0.030775292787303125,4
12,Naive,0.9983655477516001,0.03166666666666666,0.9999999999999999,0.0,0.03333333333333333,0.028754286996348754,4
13,Naive,0.9986746241122311,0.03833333333333333,0.9999999999999999,0.0,0.03333333333333333,0.028411765634987075,4
14,Naive,0.9986746241122311,0.03833333333333333,0.9999999999999999,0.0,0.03333333333333333,0.027478922423009217,4
15,Naive,0.998694501557376,0.04416666666666667,0.9999999999999999,0.0,0.05,0.026881910470423445,4
16,Naive,0.9986746241122311,0.03833333333333333,0.9999999999999999,0.0,0.03333333333333333,0.025782636164485527,4
17,Naive,0.9986581261580152,0.035833333333333335,0.9999999999999999,0.0,0.03333333333333333,0.024879318253677327,4
18,Naive,0.9986581261580152,0.035833333333333335,0.9999999999999999,0.0,0.03333333333333333,0.02415386230978185,4
19,Naive,0.9986746241122311,0.03833333333333333,0.9999999999999999,0.0,0.03333333333333333,0.023693574029526786,4
20,Naive,0.998694501557376,0.04416666666666667,0.9999999999999999,0.0,0.05,0.0232543394184247,4
0,LCB,0.9942465570834796,0.0,0.9999999999999999,0.0,0.95,0.0479157423749955,4
1,LCB,0.9942465570834796,0.0,0.9999999999999999,0.0,0.95,0.04537843383624109,4
2,LCB,0.9942465570834796,0.0,0.9999999999999999,0.0,0.95,0.04391363629443985,4
3,LCB,0.9957036689973984,0.008333333333333333,0.9999999999999999,0.0,0.95,0.041926468890717786,4
4,LCB,0.996638615416648,0.015000000000000001,0.9999999999999999,0.0,0.95,0.04016496607905953,4
5,LCB,0.9942465570834796,0.0,0.9999999999999999,0.0,0.95,0.03778299380245575,4
6,LCB,0.9966606016191198,0.014166666666666668,0.9999999999999999,0.0,0.95,0.03646926663131724,4
7,LCB,0.9980191591449168,0.022500000000000003,0.9999999999999999,0.0,0.9666666666666667,0.03536330308143446,4
8,LCB,0.9977239835583398,0.025,0.9999999999999999,0.0,0.95,0.03372710489665462,4
9,LCB,0.9978622185370505,0.027500000000000004,0.9999999999999999,0.0,0.95,0.03261176417722654,4
10,LCB,0.9971923975877306,0.021666666666666667,0.9999999999999999,0.0,0.9666666666666667,0.031001304165135895,4
11,LCB,0.9980199249090004,0.03083333333333333,0.9999999999999999,0.0,0.9666666666666667,0.030369034975779766,4
12,LCB,0.9986873062021348,0.03333333333333333,0.9999999999999999,0.0,0.9666666666666667,0.02948899793378277,4
13,LCB,0.9986978325804453,0.03666666666666667,0.9999999999999999,0.0,0.9833333333333333,0.02854902280249559,4
14,LCB,0.99827131307021,0.03166666666666666,0.9999999999999999,0.0,0.9666666666666667,0.027460913231729073,4
15,LCB,0.9989887002603607,0.03833333333333334,0.9999999999999999,0.0,0.9833333333333333,0.02689360424824095,4
16,LCB,0.9988471764849346,0.03666666666666667,0.9999999999999999,0.0,0.9833333333333333,0.025977547349791453,4
17,LCB,0.9989532392039313,0.0375,0.9999999999999999,0.0,0.9833333333333333,0.025256860177030147,4
